2025-12-22 07:24:02 | INFO     | AI_Doc_Analyzer:setup_logging:148 | AI Document Analyzer - Logging initialized
2025-12-22 07:24:02 | INFO     | AI_Doc_Analyzer:setup_logging:149 | Log level: DEBUG
2025-12-22 07:24:02 | INFO     | AI_Doc_Analyzer:setup_logging:150 | Log file: c:\Users\bogda\DebogAutomations\Clients\RobertKaplan\AI_Doc_Analyzer\logs\app.log
2025-12-22 07:24:02 | INFO     | AI_Doc_Analyzer:setup_logging:151 | ============================================================
2025-12-22 07:24:11 | INFO     | AI_Doc_Analyzer.__main__:main:33 | Starting AI Document Analyzer application
2025-12-22 07:24:11 | DEBUG    | AI_Doc_Analyzer.__main__:main:45 | QApplication created successfully
2025-12-22 07:24:11 | DEBUG    | AI_Doc_Analyzer.__main__:main:52 | Creating main window
2025-12-22 07:24:12 | INFO     | AI_Doc_Analyzer.__main__:main:55 | Main window displayed
2025-12-22 07:24:12 | INFO     | AI_Doc_Analyzer.__main__:main:58 | Entering application event loop
2025-12-22 07:25:11 | ERROR    | AI_Doc_Analyzer.connectors.box_connector:connect:77 | Box connection failed: 
Timestamp: 2025-12-22 07:25:11.209615
Underlying error: None
Message: Developer token has expired. Please provide a new one.
2025-12-22 07:26:29 | INFO     | AI_Doc_Analyzer.connectors.box_connector:connect:74 | Box connection established successfully
2025-12-22 07:26:29 | DEBUG    | AI_Doc_Analyzer.connectors.box_connector:list_folders:120 | Listed 0 folders in path: /
2025-12-22 07:26:32 | DEBUG    | AI_Doc_Analyzer.connectors.box_connector:list_files:189 | Listed 8 files in path: /
2025-12-22 07:30:26 | INFO     | AI_Doc_Analyzer:setup_logging:147 | ============================================================
2025-12-22 07:30:26 | INFO     | AI_Doc_Analyzer:setup_logging:148 | AI Document Analyzer - Logging initialized
2025-12-22 07:30:26 | INFO     | AI_Doc_Analyzer:setup_logging:149 | Log level: DEBUG
2025-12-22 07:30:26 | INFO     | AI_Doc_Analyzer:setup_logging:150 | Log file: C:\Users\bogda\DebogAutomations\Clients\RobertKaplan\AI_Doc_Analyzer\logs\app.log
2025-12-22 07:30:26 | INFO     | AI_Doc_Analyzer:setup_logging:151 | ============================================================
2025-12-22 07:32:29 | INFO     | AI_Doc_Analyzer:setup_logging:147 | ============================================================
